company_id,company_name,High ROE,High ROCE,Healthy Margin,Low Debt,valuation
DMART,Avenue Supermarts Ltd,False,False,False,True,Overvalued
DRREDDY,Dr Reddys Laboratories Ltd,False,False,True,True,Fairly Valued
EICHERMOT,Eicher Motors Ltd,False,False,True,True,Fairly Valued
GAIL,GAIL (India) Ltd,False,False,False,True,Overvalued
GODREJCP,Godrej Consumer Products Ltd,False,False,False,True,Overvalued
GRASIM,Grasim Industries Ltd,False,False,False,False,Overvalued
HAL,Hindustan Aeronautics Ltd,True,True,True,False,Fairly Valued
HAVELLS,Havells India Ltd,False,False,False,True,Overvalued
HCLTECH,HCL Technologies Ltd,False,False,False,True,Overvalued
HDFCBANK,HDFC Bank Ltd,False,False,True,False,Overvalued
HDFCLIFE,HDFC Life Insurance Company Ltd,False,False,False,True,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",False,False,False,True,Overvalued
HINDALCO,Hindalco Industries Ltd,False,False,False,False,Overvalued
HINDUNILVR,"Hindustan Unilever Ltd
",False,False,True,True,Fairly Valued
ICICIBANK,ICICI Bank Ltd,False,False,True,False,Overvalued
ICICIGI,ICICI Lombard General Insurance Company Ltd,False,False,False,True,Overvalued
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,False,False,False,True,Overvalued
INDUSINDBK,IndusInd Bank Ltd,False,False,True,False,Overvalued
INFY,Infosys Ltd,False,False,True,True,Fairly Valued
IOC,"Indian Oil Corporation
",False,False,False,False,Overvalued
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,False,False,True,True,Fairly Valued
IRFC,Indian Railway Finance Corporation Ltd,False,False,True,False,Overvalued
ITC,"ITC Ltd
",False,False,True,True,Fairly Valued
JINDALSTEL,Jindal Steel & Power Ltd,False,False,False,True,Overvalued
JIOFIN,Jio Financial Services Ltd,False,False,True,True,Fairly Valued
JSWENERGY,JSW Energy Ltd,False,False,True,False,Overvalued
JSWSTEEL,JSW Steel Ltd,False,False,False,False,Overvalued
KOTAKBANK,"Kotak Mahindra Bank Ltd
",False,False,True,False,Overvalued
LICI,Life Insurance Corporation of India,False,False,False,True,Overvalued
LODHA,Macrotech Developers Ltd,False,False,True,True,Fairly Valued
LT,Larsen & Toubro Ltd,False,False,False,True,Overvalued
LTIM,LTIMindtree Ltd,False,False,False,True,Overvalued
M&M,"Mahindra & Mahindra Ltd
",False,False,False,False,Overvalued
MARUTI,Maruti Suzuki India Ltd,False,False,False,True,Overvalued
MOTHERSON,Samvardhana Motherson International Ltd,False,False,False,False,Overvalued
NAUKRI,Info Edge (India) Ltd,False,False,True,True,Fairly Valued
NESTLEIND,Nestle India Ltd,False,False,True,True,Fairly Valued
NHPC,"NHPC Ltd
",False,False,True,False,Overvalued
NTPC,NTPC Ltd,False,False,False,False,Overvalued
ONGC,Oil & Natural Gas Corpn Ltd,False,False,False,True,Overvalued
PFC,Power Finance Corporation Ltd,False,False,True,False,Overvalued
PIDILITIND,Pidilite Industries Ltd,False,False,False,True,Overvalued
PNB,Punjab National Bank,False,False,False,False,Overvalued
POWERGRID,Power Grid Corporation of India Ltd,False,False,True,False,Overvalued
RECLTD,REC Ltd,False,False,True,False,Overvalued
RELIANCE,"Reliance Industries Ltd
",False,False,False,False,Overvalued
SBILIFE,SBI Life Insurance Company Ltd,False,False,False,True,Overvalued
SBIN,State Bank of India,False,False,True,False,Overvalued
SHREECEM,Shree Cement Ltd,False,False,False,True,Overvalued
SHRIRAMFIN,"Shriram Finance Ltd
",False,False,True,False,Overvalued
SIEMENS,Siemens Ltd,False,False,False,True,Overvalued
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,False,False,True,True,Fairly Valued
TATACONSUM,Tata Consumer Products Ltd,False,False,False,True,Overvalued
TATAMOTORS,Tata Motors Ltd,False,False,False,False,Overvalued
TATAPOWER,"Tata Power Company Ltd
",False,False,False,False,Overvalued
TATASTEEL,"Tata Steel Ltd
",False,False,False,False,Overvalued
TCS,Tata Consultancy Services Ltd,False,False,True,True,Fairly Valued
TECHM,Tech Mahindra Ltd,False,False,False,True,Overvalued
TITAN,"Titan Company Ltd
",False,False,False,False,Overvalued
TORNTPHARM,Torrent Pharmaceuticals Ltd,False,False,True,False,Overvalued
TRENT,Trent Ltd,False,False,False,True,Overvalued
TVSMOTOR,TVS Motor Company Ltd,False,False,False,False,Overvalued
INDIGO,Interglobe Aviation Ltd,False,True,False,True,Fairly Valued
